DATA,FLOW
1/1/2007,8.86
1/2/2007,8.86
1/2/2007,10.66
1/2/2007,10.06
1/2/2007,9.61
1/2/2007,9.17
1/2/2007,8.66
1/3/2007,12.54
1/3/2007,11.83
1/3/2007,11.3
1/3/2007,14.08
1/3/2007,13.44
1/3/2007,10.72
1/3/2007,10.18
1/3/2007,9.72
1/3/2007,9.28
1/3/2007,8.96
1/4/2007,15.45
1/4/2007,14.58
1/4/2007,12.88
1/3/2007,12.25
1/3/2007,11.7
1/3/2007,11.17
1/4/2007,13.76
1/5/2007,15.63
1/5/2007,14.92
1/4/2007,14.41
1/6/2007,15.45
1/6/2007,14.83
1/6/2007,17.75
1/6/2007,16.75
1/6/2007,15.99
1/7/2007,19.93
1/7/2007,18.81
1/7/2007,15.45
1/7/2007,17.75
1/7/2007,16.95
1/7/2007,16.18
1/8/2007,20.16
1/8/2007,19.25
1/8/2007,18.38
1/8/2007,17.34
1/8/2007,16.37
1/8/2007,15.99
1/8/2007,18.59
1/9/2007,15.45
1/9/2007,14.75
1/9/2007,17.35
1/9/2007,16.37
1/10/2007,15.45
1/10/2007,14.84
1/10/2007,23.44
1/10/2007,22.38
1/10/2007,21.37
1/10/2007,20.4
1/10/2007,19.48
1/10/2007,18.59
1/10/2007,17.75
1/10/2007,16.95
1/10/2007,16.28
1/11/2007,30.95
1/11/2007,29.21
1/11/2007,27.89
1/11/2007,26.63
1/11/2007,25.42
1/11/2007,24.27
1/11/2007,33.18
1/11/2007,22.9
1/11/2007,21.87
1/11/2007,20.88
1/11/2007,19.93
1/11/2007,19.03
1/11/2007,18.17
1/12/2007,35.57
1/12/2007,31.31
1/11/2007,29.55
1/11/2007,28.21
1/11/2007,26.94
1/11/2007,25.72
1/11/2007,24.55
1/11/2007,23.71
1/12/2007,33.18
1/13/2007,35.98
1/13/2007,34.35
1/13/2007,31.68
1/13/2007,29.9
1/13/2007,28.22
1/13/2007,26.94
1/13/2007,25.72
1/13/2007,32.42
1/13/2007,30.95
1/14/2007,29.55
1/14/2007,24.56
1/14/2007,23.44
1/14/2007,22.38
1/14/2007,28.22
1/14/2007,26.94
1/14/2007,25.42
1/14/2007,21.37
1/14/2007,20.17
1/14/2007,23.99
1/14/2007,22.91
1/15/2007,19.03
1/15/2007,21.87
1/15/2007,20.88
1/15/2007,19.94
1/15/2007,18.17
1/16/2007,18.81
1/16/2007,17.48
1/17/2007,17.55
1/17/2007,16.76
1/18/2007,18.17
1/18/2007,17.35
1/18/2007,16.66
1/18/2007,19.04
1/19/2007,19.94
1/19/2007,18.39
1/18/2007,17.55
1/19/2007,24.56
1/19/2007,23.45
1/19/2007,22.39
1/19/2007,21.37
1/20/2007,29.56
1/20/2007,27.9
1/20/2007,26.63
1/20/2007,25.43
1/20/2007,20.49
1/19/2007,19.48
1/20/2007,24
1/20/2007,22.91
1/20/2007,21.87
1/21/2007,29.91
1/21/2007,28.55
1/21/2007,27.26
1/21/2007,26.03
1/21/2007,24.85
1/21/2007,23.45
1/21/2007,22.39
1/21/2007,21.5
1/21/2007,26.95
1/21/2007,25.73
1/22/2007,24.56
1/22/2007,20.41
1/22/2007,19.48
1/22/2007,18.71
1/22/2007,23.45
1/22/2007,22.39
1/22/2007,21.38
1/22/2007,17.76
1/22/2007,16.96
1/22/2007,16.28
1/22/2007,20.41
1/22/2007,19.48
1/23/2007,18.6
1/23/2007,15.46
1/23/2007,14.76
1/23/2007,17.76
1/23/2007,16.96
1/23/2007,16.19
1/23/2007,14.09
1/23/2007,13.45
1/23/2007,12.84
1/23/2007,12.33
1/23/2007,15.46
1/24/2007,14.59
1/24/2007,11.71
1/24/2007,11.05
1/24/2007,10.55
1/24/2007,13.77
1/24/2007,13.14
1/24/2007,12.4
1/24/2007,11.71
1/24/2007,11.18
1/25/2007,10.67
1/25/2007,10.25
1/25/2007,9.73
1/26/2007,10.55
1/26/2007,10.07
1/26/2007,9.29
1/25/2007,8.97
1/26/2007,8.66
1/26/2007,9.5
1/27/2007,8.97
1/27/2007,8.27
1/27/2007,7.76
1/27/2007,8.47
1/27/2007,8.08
1/28/2007,7.72
1/28/2007,7.37
1/28/2007,7.07
1/29/2007,6.72
1/29/2007,7.54
1/29/2007,7.12
1/29/2007,6.64
1/29/2007,6.34
1/30/2007,6.34
1/30/2007,6.05
1/31/2007,5.81
1/31/2007,6.05
2/1/2007,5.58
2/1/2007,5.24
2/1/2007,5.71
2/1/2007,5.45
2/1/2007,5
2/2/2007,5.21
2/2/2007,4.77
2/2/2007,4.97
2/2/2007,4.56
2/3/2007,4.75
2/4/2007,4.53
2/4/2007,4.58
2/4/2007,4.38
2/4/2007,4.23
2/5/2007,4.28
2/5/2007,4.13
2/6/2007,4.18
2/6/2007,3.99
2/7/2007,4.04
2/7/2007,3.88
2/8/2007,3.99
2/8/2007,3.81
2/8/2007,3.72
2/9/2007,3.59
2/9/2007,3.45
2/9/2007,3.72
2/9/2007,3.28
2/10/2007,3.47
2/10/2007,3.28
2/10/2007,3.16
2/11/2007,3.28
2/11/2007,3.16
2/12/2007,3.24
2/12/2007,3.09
2/13/2007,3.13
2/13/2007,3
2/14/2007,3.09
2/14/2007,2.95
2/14/2007,2.85
2/15/2007,2.89
2/15/2007,2.75
2/16/2007,2.79
2/16/2007,2.69
2/17/2007,2.75
2/17/2007,2.66
2/18/2007,2.69
2/18/2007,2.57
2/19/2007,2.44
2/19/2007,2.57
2/20/2007,2.43
2/20/2007,2.33
2/21/2007,2.34
2/21/2007,2.24
2/22/2007,2.24
2/22/2007,2.14
2/23/2007,2.14
2/23/2007,2.05
2/24/2007,2.11
2/24/2007,2.04
2/25/2007,2.11
2/25/2007,2.04
2/26/2007,2.11
2/26/2007,2.04
2/27/2007,2.11
2/27/2007,2.03
2/28/2007,2.04
2/28/2007,1.96
3/1/2007,2.02
3/1/2007,1.95
3/2/2007,2.02
3/2/2007,1.95
3/3/2007,2.02
3/3/2007,1.95
3/4/2007,2.02
3/4/2007,1.95
3/5/2007,2.02
3/5/2007,1.95
3/6/2007,2.02
3/6/2007,1.95
3/7/2007,2.02
3/7/2007,1.95
3/8/2007,2.02
3/8/2007,1.95
3/9/2007,2.11
3/8/2007,2.02
3/10/2007,2.21
3/9/2007,2.11
3/11/2007,2.37
3/11/2007,2.25
3/10/2007,2.19
3/12/2007,2.79
3/12/2007,2.66
3/12/2007,2.54
3/12/2007,2.43
3/11/2007,2.32
3/12/2007,3.21
3/12/2007,3.06
3/12/2007,2.92
3/13/2007,3.36
3/13/2007,2.82
3/12/2007,2.66
3/12/2007,2.54
3/12/2007,2.46
3/13/2007,3.13
3/13/2007,2.99
3/14/2007,3.86
3/14/2007,3.64
3/14/2007,3.48
3/13/2007,3.36
3/13/2007,3.24
3/14/2007,4.33
3/14/2007,4.14
3/15/2007,4.98
3/15/2007,4.7
3/15/2007,4.49
3/15/2007,3.96
3/14/2007,3.77
3/14/2007,3.6
3/14/2007,3.48
