DATA,LAHTI,PORVO,MUSTI,FLOW
1/1/2001,0.7,0.5,1.3,6.45
1/2/2001,0,0.1,0,6.45
1/3/2001,0.1,0.1,0,6.18
1/4/2001,1.2,3,1,5.14
1/5/2001,0.2,0,0.2,4.88
1/6/2001,1.1,7.4,3,4.88
1/7/2001,1,1.9,0.7,4.88
1/8/2001,1,2.4,3.4,4.88
1/9/2001,7.2,2.3,5.3,6.45
1/10/2001,1.4,0.5,0.1,6.45
1/11/2001,0.7,0.3,0.4,6.45
1/12/2001,0,0,0.06,6.45
1/13/2001,0,0.1,0.06,6.45
1/14/2001,0,0,0,6.18
1/15/2001,0,0,0,5.14
1/16/2001,0,0,0,4.88
1/17/2001,0.2,0.2,0,4.88
1/18/2001,0.06,0,0,4.62
1/19/2001,0.3,0.06,0.5,3.83
1/20/2001,0.4,0.3,0.7,3.83
1/21/2001,0,0,0,3.83
1/22/2001,0,0,0,3.83
1/23/2001,0,0,0.1,3.83
1/24/2001,2.4,2.9,3.3,2.78
1/25/2001,9.2,6.3,8.7,3.31
1/26/2001,0,0.2,3.2,3.05
1/27/2001,4.2,10.1,4.5,2.26
1/28/2001,0.4,0.9,0.3,2.26
1/29/2001,2.5,2,3,2.35
1/30/2001,1.1,0.5,0.2,3.31
1/31/2001,0.1,0,0,3.83
2/1/2001,1.1,1.4,1.2,3.05
2/2/2001,0,0,0,2.26
2/3/2001,0.9,1,1.2,2.26
2/4/2001,1.3,0.8,1,2.26
2/5/2001,1.1,2,3,2.26
2/6/2001,8,15.5,10.1,2.26
2/7/2001,0.7,1.3,1.1,3.31
2/8/2001,4.9,4.7,5.4,5.92
2/9/2001,1.3,1.9,1,9.06
2/10/2001,0,0,0,13.77
2/11/2001,5,4.9,5.5,14.29
2/12/2001,1.2,0.2,0.5,13.77
2/13/2001,0,0,0.06,11.68
2/14/2001,1.3,0.5,1,8.28
2/15/2001,0,0,0,7.49
2/16/2001,0,0,0,7.49
2/17/2001,0.3,1,2.5,6.45
2/18/2001,0.06,0,0.5,6.45
2/19/2001,0.7,1.8,1.8,6.45
2/20/2001,3.6,3.8,4.9,6.18
2/21/2001,4.6,5.5,3,4.88
2/22/2001,0,0.3,0,4.88
2/23/2001,0,0,0,4.88
2/24/2001,0.3,0.5,0.5,4.88
2/25/2001,0,0,0,4.09
2/26/2001,2.4,4.3,3.9,3.83
2/27/2001,2.3,1.6,2.8,3.83
2/28/2001,0.2,0.1,0.3,3.83
3/1/2001,0.5,0.9,0.9,3.83
3/2/2001,4.5,6.5,4.6,3.83
3/3/2001,0.1,0.1,0.1,3.83
3/4/2001,0.06,0.06,0.1,3.83
3/5/2001,0.06,0,0.1,3.83
3/6/2001,6,3.5,4.9,3.57
3/7/2001,0.06,0,0,2.52
3/8/2001,0,0,0,2.26
3/9/2001,0,0,1.1,2.26
3/10/2001,6.2,4.9,5.2,2.26
3/11/2001,3.6,2.8,3.3,2.26
3/12/2001,10.7,6,4.9,2.26
3/13/2001,0.3,0,0,3.31
3/14/2001,0,0,0,7.36
3/15/2001,0.4,0.5,0.1,13.77
3/16/2001,0.6,1.6,0.3,14.82
3/17/2001,0.06,0.1,0.06,16.65
3/18/2001,1,0.4,1,14.29
3/19/2001,0.06,0,0.06,11.42
3/20/2001,0,0,0,10.37
3/21/2001,2.9,0.1,0.6,8.28
3/22/2001,0.9,0.6,1.1,7.49
3/23/2001,0.06,0.1,0.1,6.18
3/24/2001,0,0,0,5.14
3/25/2001,0,0,0,4.88
3/26/2001,0.3,2.2,2.1,4.88
3/27/2001,0.06,0.3,0.4,3.83
3/28/2001,0,0,0,3.83
3/29/2001,0,0,0,3.83
3/30/2001,1.5,0.1,1,3.83
