date         value     avg     min     max
01.01.2018   32,00    7,84    0,60   37,00
02.01.2018   30,00    7,57    0,59   39,00
03.01.2018   38,00    7,16    0,59   34,00
04.01.2018   44,00    7,20    0,60   27,00
05.01.2018   52,00    7,02    0,60   42,00
06.01.2018   71,00    6,67    0,60   38,00
07.01.2018   72,00    6,48    0,60   29,00
08.01.2018   64,00    6,83    0,60   46,00
09.01.2018   53,77    7,17    0,61   45,00
10.01.2018   45,62    7,69    0,61   57,00
11.01.2018   41,90    7,90    0,63   58,00
12.01.2018   38,95    7,69    0,65   58,00
13.01.2018   36,43    7,53    0,68   56,00
14.01.2018   32,45    8,33    0,69   63,00
15.01.2018   28,21    8,47    0,70   52,00
16.01.2018   23,80    7,89    0,70   42,00
17.01.2018   18,88    7,70    0,71   38,00
18.01.2018   16,42    8,03    0,73   38,00
19.01.2018   14,19    8,04    0,76   38,00
20.01.2018   12,56    8,00    0,77   51,00
21.01.2018   11,33    7,83    0,77   50,00
22.01.2018   10,79    7,42    0,78   42,00
23.01.2018   10,34    7,00    0,79   33,00
24.01.2018   10,92    6,74    0,79   36,00
25.01.2018   11,82    6,66    0,80   45,00
26.01.2018   37,55    6,38    0,81   38,00
27.01.2018   38,24    6,08    0,82   32,00
28.01.2018   36,43    5,77    0,82   29,00
29.01.2018   30,54    5,48    0,82   25,00
30.01.2018   26,87    5,37    0,81   20,00
31.01.2018   22,25    5,15    0,81   21,00
01.02.2018   19,83    4,94    0,81   20,00
02.02.2018   17,24    4,80    0,82   19,60
03.02.2018   14,54    4,92    0,82   28,00
04.02.2018   13,03    5,28    0,81   26,00
05.02.2018   11,97    5,71    0,81   34,00
06.02.2018   10,72    6,11    0,80   47,00
07.02.2018    9,91    6,49    0,80   50,00
08.02.2018    9,21    6,76    0,79   55,00
09.02.2018    8,56    6,58    0,79   55,00
10.02.2018    8,06    6,75    0,78   67,00
11.02.2018    7,49    6,87    0,78   68,00
12.02.2018    7,05    6,62    0,78   63,00
13.02.2018    6,63    6,28    0,78   55,00
14.02.2018    6,36    5,89    0,77   49,00
15.02.2018    6,09    5,50    0,77   40,00
16.02.2018    5,84    5,31    0,77   38,00
17.02.2018    5,63    5,28    0,77   28,00
18.02.2018    5,43    5,33    0,77   38,00
19.02.2018    5,23    5,15    0,77   41,00
20.02.2018    5,04    4,93    0,77   37,00
21.02.2018    4,80    5,27    0,77   45,00
22.02.2018    4,58    5,70    0,77   68,00
23.02.2018    4,41    5,99    0,77   78,00
24.02.2018    4,25    5,84    0,77   75,00
25.02.2018    4,08    5,79    0,77   74,00
26.02.2018    3,93    6,06    0,77   70,00
27.02.2018    3,81    6,42    0,77   65,00
28.02.2018    3,61    7,19    0,77   74,00
01.03.2018    3,48    7,49    0,77   65,00
02.03.2018    3,42    7,10    0,77   55,00
03.03.2018    3,27    6,85    0,77   50,00
04.03.2018    3,22    6,33    0,77   44,00
05.03.2018    3,16    5,87    0,77   38,00
06.03.2018    3,10    5,49    0,77   36,00
07.03.2018    3,01    5,24    0,78   37,00
08.03.2018    2,95    5,07    0,79   33,00
09.03.2018    2,90    5,11    0,80   30,00
