data,lahti ,porvo,Mäntsälä,,,flow
1/31/2001,35.46,42.06,40.02,,,143.99
2/28/2001,41.26,53.1,51.26,,,170.04
3/31/2001,41.82,31.66,34.52,,,184.53
4/30/2001,21.7,41.16,30.88,,,1033.73
5/31/2001,31.5,22.76,25.2,,,293.77
6/30/2001,93.22,107.6,110.26,,,449.69
7/31/2001,56.26,58.56,87.12,,,132.35
8/31/2001,22.22,62.56,32.86,,,87.09
9/30/2001,83.28,81.5,115.72,,,230.81
10/31/2001,58.78,71.9,77.4,,,175.01
11/30/2001,36.34,55.46,54.46,,,516.08
12/31/2001,25.08,29.86,22.08,,,114.23
1/31/2002,57.78,67.7,64.46,,,145.16
2/28/2002,58.3,64.3,68.88,,,678
3/31/2002,36.16,37.76,42.8,,,407.6
4/30/2002,5.8,7.76,5.5,,,930.27
5/31/2002,55.02,16.56,40.86,,,542.08
6/30/2002,104.68,122.3,107.06,,,116.47
7/31/2002,77.26,82.86,85.26,,,262.32
8/31/2002,56.92,7.86,28.6,,,94.09
9/30/2002,22.22,12.94,15.92,,,66.42
10/31/2002,15.46,30.76,25.34,,,59.91
11/30/2002,85.48,82.92,53.06,,,62.52
12/31/2002,11.96,13,11.66,,,67.29
1/31/2003,38.86,44.3,43.66,,,22.54
2/28/2003,8.84,12.8,8.4,,,22.39
3/31/2003,5.18,10.7,6.38,,,112.77
4/30/2003,23.56,30.86,31.96,,,513.05
5/31/2003,81.66,67.82,74.46,,,628.65
6/30/2003,60.58,44.32,36.18,,,131.36
7/31/2003,67.42,59.7,41.86,,,119.55
8/31/2003,63.22,94.26,58.66,,,61.71
9/30/2003,29.38,34.32,23.64,,,37.65
10/31/2003,108.9,71.7,91.58,,,345.15
11/30/2003,39.8,50.5,44.5,,,353.55
12/31/2003,72.88,76.3,76.4,,,451.31
1/31/2004,37.8,38.86,49.3,,,273.4
2/29/2004,41.66,52.76,43.7,,,131.11
3/31/2004,33.78,54.3,40.24,,,227.28
4/30/2004,3.56,10.2,5.76,,,1091.73
5/31/2004,63.58,48.2,42.14,,,284.94
6/30/2004,111.88,115.3,117.04,,,196.58
7/31/2004,161.5,158.16,222.66,,,662.74
8/31/2004,102.48,87,121.88,,,1145.76
9/30/2004,74.22,121.9,92.82,,,668.5
10/31/2004,44.46,63.8,38.66,,,548.79
11/30/2004,48.62,59.7,44.92,,,468.46
12/31/2004,65.98,76.1,68.16,,,548.67
1/31/2005,85.56,100.1,86.36,,,929.5
2/28/2005,12.92,25.1,28.22,,,164.54
3/31/2005,5.06,8.92,6.06,,,80.85
4/30/2005,13.1,9.06,12.52,,,752.25
5/31/2005,56.92,72.62,58.02,,,295.38
6/30/2005,81.08,100.32,87.5,,,298.18
7/31/2005,54.26,48.66,48.76,,,105.97
8/31/2005,119.92,133.8,149.66,,,408.77
9/30/2005,28,26.36,31.66,,,134.19
10/31/2005,31.62,41.36,34.24,,,120.79
11/30/2005,78.6,80.6,74.58,,,319.79
12/31/2005,45.96,36.4,34.22,,,295
1/31/2006,12.5,11.9,13.06,,,190.56
2/28/2006,18.52,22.96,19.98,,,51.14
3/31/2006,31.36,19.86,27.8,,,36.09
4/30/2006,39.92,6.18,30.68,,,959.73
5/31/2006,35.08,31.5,30.34,,,418.61
6/30/2006,37.52,46.7,26.46,,,115.54
7/31/2006,23.16,17.5,12,,,47.16
8/31/2006,39.76,76.4,95.48,,,44.76
9/30/2006,57.4,35.46,33.68,,,82.84
10/31/2006,137.92,28.9,149.88,,,382.97
11/30/2006,56.96,43.56,50.06,,,896.48
12/31/2006,48.48,47.22,37.54,,,693.81
1/31/2007,49.44,92.9,67.28,,,574.48
2/28/2007,19.12,15.3,13.74,,,89.99
3/31/2007,24.2,27.7,24.54,,,474.9
4/30/2007,27.08,34.6,35.92,,,472.1
5/31/2007,44.44,46,50.56,,,238.26
6/30/2007,50.12,54.6,50.64,,,106.46
7/31/2007,131.62,79,78.24,,,126.62
8/31/2007,86.3,87.9,59.88,,,220.75
9/30/2007,83.3,86.5,82.7,,,493.97
10/31/2007,45.58,53.3,35.74,,,484.43
11/30/2007,34.36,66,41.12,,,543.38
12/31/2007,47.1,65.4,56.32,,,815
1/31/2008,70,63.7,59.38,,,688.76
2/29/2008,54.96,48.7,49.44,,,650.48
