data,Train,Validation,Test
1/31/2001,40.02,,
2/28/2001,51.26,,
3/31/2001,34.52,,
4/30/2001,30.88,,
5/31/2001,25.2,,
6/30/2001,110.26,,
7/31/2001,87.12,,
8/31/2001,32.86,,
9/30/2001,115.72,,
10/31/2001,77.4,,
11/30/2001,54.46,,
12/31/2001,22.08,,
1/31/2002,64.46,,
2/28/2002,68.88,,
3/31/2002,42.8,,
4/30/2002,5.5,,
5/31/2002,40.86,,
6/30/2002,107.06,,
7/31/2002,85.26,,
8/31/2002,28.6,,
9/30/2002,15.92,,
10/31/2002,25.34,,
11/30/2002,53.06,,
12/31/2002,11.66,,
1/31/2003,43.66,,
2/28/2003,8.4,,
3/31/2003,6.38,,
4/30/2003,31.96,,
5/31/2003,74.46,,
6/30/2003,36.18,,
7/31/2003,41.86,,
8/31/2003,58.66,,
9/30/2003,23.64,,
10/31/2003,91.58,,
11/30/2003,44.5,,
12/31/2003,76.4,,
1/31/2004,49.3,,
2/29/2004,43.7,,
3/31/2004,40.24,,
4/30/2004,5.76,,
5/31/2004,42.14,,
6/30/2004,117.04,,
7/31/2004,222.66,,
8/31/2004,121.88,,
9/30/2004,92.82,,
10/31/2004,38.66,,
11/30/2004,44.92,,
12/31/2004,68.16,,
1/31/2005,86.36,,
2/28/2005,28.22,,
3/31/2005,6.06,,
4/30/2005,12.52,,
5/31/2005,58.02,,
6/30/2005,87.5,,
7/31/2005,48.76,,
8/31/2005,149.66,,
9/30/2005,31.66,,
10/31/2005,34.24,,
11/30/2005,74.58,,
12/31/2005,34.22,,
1/31/2006,13.06,,
2/28/2006,19.98,,
3/31/2006,27.8,,
4/30/2006,30.68,,
5/31/2006,30.34,,
6/30/2006,26.46,,
7/31/2006,12,,
8/31/2006,95.48,,
9/30/2006,33.68,,
10/31/2006,149.88,,
11/30/2006,50.06,,
12/31/2006,37.54,,
1/31/2007,67.28,,
2/28/2007,13.74,,
3/31/2007,24.54,,
4/30/2007,35.92,,
5/31/2007,50.56,,
6/30/2007,50.64,,
7/31/2007,78.24,,
8/31/2007,59.88,,
9/30/2007,82.7,,
10/31/2007,35.74,,
11/30/2007,41.12,,
12/31/2007,56.32,,
1/31/2008,59.38,,
2/29/2008,49.44,,
3/31/2008,38.76,,
4/30/2008,33,,
5/31/2008,13.86,,
6/30/2008,90.06,,
7/31/2008,32.92,,
8/31/2008,51.42,,
9/30/2008,27.06,,
10/31/2008,108.46,,
11/30/2008,71.38,,
12/31/2008,53.86,,
1/31/2009,28.54,,
2/28/2009,19.68,,
3/31/2009,28.54,,
4/30/2009,9.98,,
5/31/2009,24,,
6/30/2009,46.32,,
7/31/2009,106.06,,
8/31/2009,38.26,,
9/30/2009,27.4,,
10/31/2009,61.78,,
11/30/2009,51.76,,
12/31/2009,37.42,,
1/31/2010,22.22,,
2/28/2010,44.46,,
3/31/2010,41.86,,
4/30/2010,46.76,,
5/31/2010,66.02,,
6/30/2010,23.86,,
7/31/2010,31.52,,
8/31/2010,55.56,,
9/30/2010,54.16,,
10/31/2010,41.14,,
11/30/2010,45.7,,
12/31/2010,33.82,,
1/31/2011,56.54,,
2/28/2011,24.96,,
3/31/2011,23.94,,
4/30/2011,22.76,,
5/31/2011,22.46,,
6/30/2011,52.06,,
7/31/2011,27.32,,
8/31/2011,51.3,,
9/30/2011,98.78,,
10/31/2011,68.18,,
11/30/2011,26.18,,
12/31/2011,141.12,,
1/31/2012,78,,
2/29/2012,71,,
3/31/2012,62.46,,
4/30/2012,59.2,,
5/31/2012,63.6,,
6/30/2012,97.76,,
7/31/2012,58.92,,
8/31/2012,46.66,,
9/30/2012,118.9,,
10/31/2012,68.86,,
11/30/2012,41.68,,
12/31/2012,81.56,,
1/31/2013,47.22,,
2/28/2013,16.96,,
3/31/2013,6.82,,
4/30/2013,35.16,,
5/31/2013,33.82,,
6/30/2013,,43.5,
7/31/2013,,58.53,
8/31/2013,,102.34,
9/30/2013,,44.69,
10/31/2013,,125.68,
11/30/2013,,37.17,
12/31/2013,,46.76,
1/31/2014,,17.86,
2/28/2014,,20.5,
3/31/2014,,21.6,
4/30/2014,,12.22,
5/31/2014,,53.74,
6/30/2014,,85.98,
7/31/2014,,39.43,
8/31/2014,,92.21,
9/30/2014,,54.27,
10/31/2014,,45.17,
11/30/2014,,33.02,
12/31/2014,,63.62,
1/31/2015,,48.77,
2/28/2015,,55.4,
3/31/2015,,37.04,
4/30/2015,,60.58,
5/31/2015,,39.85,
6/30/2015,,82.52,
7/31/2015,,61.94,
8/31/2015,,50.79,
9/30/2015,,37.88,
10/31/2015,,19.13,
11/30/2015,,55.48,
12/31/2015,,43.83,
1/31/2016,,34.9,
2/29/2016,,42.3,
3/31/2016,,46.66,
4/30/2016,,75.83,
5/31/2016,,35.12,
6/30/2016,,80.98,
7/31/2016,,41.4,
8/31/2016,,53.86,
9/30/2016,,20.68,
10/31/2016,,48.41,
11/30/2016,,75.44,
12/31/2016,,20.4,
1/31/2017,,37.11,
2/28/2017,,48.33,
3/31/2017,,51.88,
4/30/2017,,58.42,
5/31/2017,,26.87,
6/30/2017,,72.5,
7/31/2017,,50.07,
8/31/2017,,61.75,
9/30/2017,,,50.18
10/31/2017,,,64.09
11/30/2017,,,76.86
12/31/2017,,,122.84
1/31/2018,,,57.42
2/28/2018,,,53.5
3/31/2018,,,25.14
4/30/2018,,,38.74
5/31/2018,,,19.66
6/30/2018,,,54.53
7/31/2018,,,19.98
8/31/2018,,,58.8
9/30/2018,,,38.63
10/31/2018,,,28.78
11/30/2018,,,25.59
12/31/2018,,,49.12
1/31/2019,,,53.13
2/28/2019,,,45.93
3/31/2019,,,40.22
4/30/2019,,,18.06
5/31/2019,,,57.27
6/30/2019,,,25.21
7/31/2019,,,23.85
8/31/2019,,,74.3
9/30/2019,,,87.4
10/31/2019,,,56.53
11/30/2019,,,114.9
12/31/2019,,,61.92
1/31/2020,,,52.08
2/29/2020,,,57.01
3/31/2020,,,16.51
4/30/2020,,,53.93
5/31/2020,,,54.52
6/30/2020,,,89.9
7/31/2020,,,47.25
8/31/2020,,,90.32
9/30/2020,,,27.81
10/31/2020,,,65.84
11/30/2020,,,107.04
12/31/2020,,,82.47
